County Code,Record ID,Legal Name,Facility Name,Physical Address,Physical Address 2,Mailing Address,Mailing Address 2,Physical City,Mailing City,Physical State,Mailing State,Physical Zip,Mailing Zip,Facility Phone,Type of Application,Service Type,Client/Patient Capacity,Expiration Date,Target Population
44,2 099 021,"7th AVENUE CENTER, LLC",7th Avenue Center,1171 Seventh Avenue                      ,,1171 Seventh Avenue                      ,,Santa Cruz,Santa Cruz,CA,CA,95062,95062,(831) 476-1700,Licensed,MHRC,99,44577,CO-ED/ADULT
37,2 125 008,"ALPINE SPECIAL TREATMENT CENTER, LLC",Alpine Special Treatment Center,2120 Alpine Boulevard,,2120 Alpine Boulevard,,Alpine,Alpine,CA,CA,91901,91901,(619) 445-2644                       ,Licensed,MHRC,125,44630,CO-ED/ADULT
19,2 006 050,BALANCE TREATMENT CENTER,Balance Treatment Center,26039 Mulholland Highway,,4505 Las Virgenes Road,Suite 202,Calabasas,Calabasas,CA,CA,91302,91302,"(818) 880-8100, (818) 540-5912    FD main line",Licensed,MHRC,6,44683,CO-ED/ADULT
4,1 016 001,BUTTE COUNTY BEHAVIORAL HEALTH,Butte County  Mental Health Services,592 Rio Lindo Avenue,,592 Rio Lindo Avenue,,Chico,Chico,CA,CA,95926,95926,(530) 891-2775,Licensed,PHF,16,44957,CO-ED/ADULT
24,2 098 022,CALIFORNIA PSYCHIATRIC TRANSITIONS,California Psychiatric Transitions              ,9226 N. Hinton Avenue          ,,P.O. Box 339,,Delhi,Delhi,CA,CA,95315,95315,(209) 667-9304,Licensed,MHRC,98,44761,CO-ED/ADULT
21,2 089 023,"MENTAL HEALTH MANAGEMENT I, INC.",Canyon Manor,655 Canyon Road,,P.O. Box 94948,,Novato,Novato,CA,CA,94947,94947,(415) 892-1628 ,Licensed,MHRC,89,44648,CO-ED/ADULT
51,2 044 042,CEDAR GROVE,Cedar Grove,1251 Stabler Lane,,1251 Stabler Lane,,Yuba City,Yuba City,CA,CA,95993,95993,(530) 418-0500,Licensed,MHRC,44,44833,CO-ED/ADULT
10,2 016 058,"CENTRAL STAR BEHAVIORAL HEALTH, INC.",Central Star Psychiatric Health Facility,4411 E. Kings Canyon Road,,4411 E. Kings Canyon Road,,Fresno,Fresno,CA,CA,93702,93702,(559) 600-2382,Licensed,PHF,16,45033,CO-ED/Children
42,2 080 043,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Champion Healing Center,303 South C street,,303 South C Street,,Lompoc,Lompoc,CA,CA,93436,93436,(805) 308-8720,Licensed,MHRC,80,44895,CO-ED /Adult
31,2 016 061,"NORTH VALLEY BEHAVIORAL HEALTH, LLC",Cirby Hills Behavioral Health,101 Cirby Hills Drive,,101 Cirby Hills Drive,,Roseville,Roseville,CA,CA,95678,95678,(916) 787-8900,Licensed,PHF,16,44835,CO-ED/ADULT
